Sitename,Address,Borough,Zip,Latitude,Longitude,Category
Tri-Road Pharmacy,"791 Westchester Ave,  Bronx,  NY 10455",Bronx,10455,40.818856,-73.9038,Pharmaceuticals & Syringes
Fort Washington Park Pedestrian Ramp,"Haven Ave & W 177th St, New York, NY 10033",Manhattan,10033,40.848316,-73.942043,Pharmaceuticals & Syringes
Castle Hill Community Pharmacy,"706 Castle Hill Ave,  Bronx,  NY 10473",Bronx,10473,40.821409,-73.8482,Pharmaceuticals & Syringes
Lutheran Medical center,"150 E 55 St, Brooklyn, NY 11203",Brooklyn,11203,40.654497,-73.926118,Pharmaceuticals & Syringes
NYU Hospital for Joint Diseases,"530 1st Ave New York, NY, 10016",Manhattan,10016,40.741465,-73.974503,Pharmaceuticals & Syringes
Rebekah Rehab and Extended Care Center,"1070 Havemeyer Ave, Bronx, NY 10462",Bronx,10462,40.830021,-73.846626,Pharmaceuticals & Syringes
Sheepshead Bay Primary Care Center,"3121 Ocean Ave, Brooklyn, NY 11235",Brooklyn,11235,40.585278,-73.948361,Pharmaceuticals & Syringes
Y&Z Pharmacy DBA M&M Pharmacy,"1901 Avenue M,  Brooklyn,  NY 11230",Brooklyn,11230,40.618688,-73.9561,Pharmaceuticals & Syringes
Hopkins Center for Rehabilitation and Healthcare,"155 Dean St Brooklyn, NY 11217",Brooklyn,11217,40.686672,-73.987152,Pharmaceuticals & Syringes
University Nursing Home,"2505 Grand Ave Bronx, NY 10468",Bronx,10468,40.86491,-73.902016,Pharmaceuticals & Syringes
Life Pharmacy,"471 Malcolm X Blvd,  Manhattan,  NY 10030",Manhattan,10030,40.81339393,-73.94187892,Pharmaceuticals & Syringes
EverYoung Pharmacy,"87-08 Justice Ave,  Queens,  NY 11373",Queens,11373,40.73719,-73.8764,Pharmaceuticals & Syringes
NYS Veterans Home in NYC,"178-50 Linden Blvd, Jamica, NY 11434",Queens,11434,40.691769,-73.769112,Pharmaceuticals & Syringes
New Glen Oaks Nursing Home,"260-1 79th Ave Glen Oaks, NY 11004",Queens,11004,40.746884,-73.711413,Pharmaceuticals & Syringes
St. George Pharmacy,"99 Stuyvesant Place,  Staten Island,  NY 10301",Staten Island,10301,40.643821,-74.0773,Pharmaceuticals & Syringes
Crescent Chemists,"24-12 34th Ave,  Queens,  NY 11106",Queens,11106,40.761236,-73.9312,Pharmaceuticals & Syringes
Queens General Center Hospital,"82-68 164th Pl Jamaica, NY 11432",Queens,11432,40.717407,-73.802345,Pharmaceuticals & Syringes
J&R Pharmacy,"2302 Mermaid Ave,  Brooklyn,  NY 11224",Brooklyn,11224,40.575792,-73.9902,Pharmaceuticals & Syringes
Fieldston Lodge Care Cetner,"666 Kappcock St, Bronx, NY 10463",Bronx,10463,40.880379,-73.918999,Pharmaceuticals & Syringes
Tabler RX pharmacy,"122 Bay Ridge Ave,  Brooklyn,  NY 11220",Brooklyn,11220,40.637195,-74.0315,Pharmaceuticals & Syringes
St. Marys Center Inc ADHC,"512 W 126th St New York, NY 10027",Manhattan,10027,40.814479,-73.956165,Pharmaceuticals & Syringes
CVS Pharmacy,"1396 Second Ave,  Manhattan,  NY 10021",Manhattan,10021,40.769044,-73.9578,Pharmaceuticals & Syringes
NY Congregational Nursing Center,"135 Linden Blvd Brooklyn, NY 1226",Brooklyn,1226,40.652994,-73.954223,Pharmaceuticals & Syringes
Silver Lake Specialized Rehabilitation Care Center,"275 Castleton Ave, Staten Island, NY, 10301",Staten Island,10301,40.633892,-74.091911,Pharmaceuticals & Syringes
Montefiore Medical Center - North Division,"600 E 233 St, Bronx, NY 10466",Bronx,10466,40.893751,-73.860958,Pharmaceuticals & Syringes
Elmhurst Hospital Center,"79-1 Broadway Elmhurst, NY 11373",Queens,11373,40.745236,-73.886034,Pharmaceuticals & Syringes
ESCO Drug Co Inc.,"687 9th Avenue,  Manhattan,  NY 10036",Manhattan,10036,40.761934,-73.9905,Pharmaceuticals & Syringes
The Chateau at Brooklyn Rehabilitation and Nursing Center,"3457 Nostrand Ave Brooklyn, NY 11229",Brooklyn,11229,40.597475,-73.940456,Pharmaceuticals & Syringes
The Phoenix Rehabilitation & Nursing Center,"140 St. Edwards St, Brooklyn, NY 11201",Brooklyn,11201,40.692337,-73.977905,Pharmaceuticals & Syringes
Henry J. Carter Skilled Nursing Facility,"1752 Park Ave, New York, NY 10035",Manhattan,10035,40.803,-73.94112,Pharmaceuticals & Syringes
New York Eye and Ear Infirmary of Montefiore,"310 E 14 St, New York, NY 10003",Manhattan,10003,40.732026,-73.984643,Pharmaceuticals & Syringes
Throgs Neck Extended Care Facility,"707 Throgs Neck Expy, Bronx, NY 10465",Bronx,10465,40.822682,-73.816831,Pharmaceuticals & Syringes
NYPD 71st Precinct,"421 Empire Boulevard,  Brooklyn,  NY 11225",Brooklyn,11225,40.664517,-73.9477,Pharmaceuticals & Syringes
Mount Sinai Hospital of Queens,"25-10 30th Rd, Long Island City, NY 11102",Queens,11102,40.76767,-73.925142,Pharmaceuticals & Syringes
Split Rock Rehab and HCC,"3525 Baychester Ave, Bronx, NY 10466",Bronx,10466,40.881912,-73.839577,Pharmaceuticals & Syringes
Hill Pharmacy,"53-82 65th Place,  Queens,  NY 11378",Queens,11378,40.729002,-73.9006,Pharmaceuticals & Syringes
Crossbay Chemists Corp,"157-02 Cross Bay Blvd,  Queens,  NY 11414",Queens,11414,40.662182,-73.8411,Pharmaceuticals & Syringes
Dongan Hills Pharmacy,"1560 Richmond Rd,  Staten Island,  NY 10304",Staten Island,10304,40.591473,-74.1006,Pharmaceuticals & Syringes
CVS Pharmacy,"253 First Ave,  Manhattan,  NY 10003",Manhattan,10003,40.731977,-73.9825,Pharmaceuticals & Syringes
CFH Jackson Medical Clinic,"691 East 138th St, Bronx, NY 10454",Bronx,10454,40.805687,-73.913155,Pharmaceuticals & Syringes
Harpell Chemists,"12-65 150th St,  Queens,  NY 11357",Queens,11357,40.789006,-73.8137,Pharmaceuticals & Syringes
Walgreens,"1281 Fulton St,  Brooklyn,  NY 11216",Brooklyn,11216,40.680729,-73.9501,Pharmaceuticals & Syringes
New York Methodist,"506 6 St Brooklyn, NY 11215",Brooklyn,11215,40.667942,-73.979259,Pharmaceuticals & Syringes
Careway Pharmacy,"1174 Flatbush Ave,  Brooklyn,  NY 11226",Brooklyn,11226,40.641437,-73.957,Pharmaceuticals & Syringes
Hill Rx Corp DBA New Victory Pharmacy,"9216 4th Ave,  Brooklyn,  NY 11209",Brooklyn,11209,40.618077,-74.0306,Pharmaceuticals & Syringes
Kingsbridge Heights Rehabilitation and Care Center,"3400 Cannon Pl Bronx, NY 10463",Bronx,10463,40.880434,-73.89822,Pharmaceuticals & Syringes
Hamilton Park Nursing and Rahabilitation,"691 92nd St, Brooklyn, NY 11228",Brooklyn,11228,40.615457,-74.023339,Pharmaceuticals & Syringes
Turning Point Red Hook,"713 Henry St Brooklyn, NY 11231",Brooklyn,11231,40.676558,-74.002771,Pharmaceuticals & Syringes
Incarnation Childrens Center,"142 Audubon Ave, New York, NY 10032",Manhattan,10032,40.84335,-73.936641,Pharmaceuticals & Syringes
Bronx Lebanon Special Care Center,"1265 Fulton Ave, Bronx, NY 10456",Bronx,10456,40.831638,-73.904175,Pharmaceuticals & Syringes
Project Hospitality - Multi-Service Center,"150 Richmond Ter, Staten Island, NY, 10301",Staten Island,10301,40.645552,-74.078095,Pharmaceuticals & Syringes
Coney Island Hospital - Staten Island,"111 Canal St, Staten Island, NY, 10304",Staten Island,10304,40.626703,-74.077466,Pharmaceuticals & Syringes
The New Jewish Home,"120 W 106 St, New York, NY 10025",Manhattan,10025,40.799723,-73.964476,Pharmaceuticals & Syringes
New York City Pharmacy,"206 First Ave,  Manhattan,  NY 10009",Manhattan,10009,40.73021,-73.9831,Pharmaceuticals & Syringes
BB Rx Pharmacy,"6013 7th Ave Unit B,  Brooklyn,  NY 11220",Brooklyn,11220,40.636262,-74.0119,Pharmaceuticals & Syringes
CVS Pharmacy,"640 Arthur Kill Road,  Staten Island,  NY 10308",Staten Island,10308,40.559795,-74.1629,Pharmaceuticals & Syringes
Avingha Rx DBA Pulse Pharmacy,"7 Bedford Park Blvd East,  Bronx,  NY 10468",Bronx,10468,40.873394,-73.889,Pharmaceuticals & Syringes
Silvercrest Center for Nursing and Rehabilitation,"144-45 87th Ave, Briarwood, NY 11435",Queens,11435,40.7071192,-73.811223,Pharmaceuticals & Syringes
Grandview Pharmacy,"590 Grandview Ave,  Queens,  NY 11385",Queens,11385,40.70833,-73.9058,Pharmaceuticals & Syringes
Life Script Pharmacy,"5456 Myrtle Ave,  Queens,  NY 11385",Queens,11385,40.699571,-73.909,Pharmaceuticals & Syringes
Lower East Side Harm Reduction Center,"35 E Broadway, New York, NY 10002",Manhattan,10002,40.71407727,-73.99647175,Pharmaceuticals & Syringes
Kings Drug & Surgical,"492 Clarkson Ave,  Brooklyn,  NY 11203",Brooklyn,11203,40.655674,-73.943,Pharmaceuticals & Syringes
West Lawrence Care Center,"1410 Seagirt Blvd Far Rockaway, NY 11691",Queens,11691,40.595687,-73.748792,Pharmaceuticals & Syringes
After Hours Project - Central office,"1204 Broadway, Brooklyn, NY 11221",Brooklyn,11221,40.692103,-73.926922,Pharmaceuticals & Syringes
Duane Reade,"155 East 34th Street,  Manhattan,  NY 10017",Manhattan,10017,40.7462,-73.9785,Pharmaceuticals & Syringes
CFH POTS Medical Clinic,"2759 Webster Ave, Bronx, NY 10458",Bronx,10458,40.865744,-73.886561,Pharmaceuticals & Syringes
Queens Nassau Rehabilitation and Nursing Center,"520 Beach 19 St, Far Rockaway, NY 11691",Queens,11691,40.6004,-73.751862,Pharmaceuticals & Syringes
Clove Lakes Healthcare and Rehabilitation Center,"25 Fanning St, Staten Island, NY, 10314",Staten Island,10314,40.608047,-74.12249,Pharmaceuticals & Syringes
Franklin Center for Rehabilitation and Nursing,"142-27 Franklin Ave, Flushing, NY 11355",Queens,11355,40.756957,-73.822733,Pharmaceuticals & Syringes
V&A Pharmacy,"72 Manhattan Ave,  Brooklyn,  NY 11206",Brooklyn,11206,40.704723,-73.9442,Pharmaceuticals & Syringes
Castle Aid Pharmacy,"1370 Castle Hill Ave,  Bronx,  NY 10462",Bronx,10462,40.835423,-73.8517,Pharmaceuticals & Syringes
CFH Peter Jay Sharp Center for Opportunity,"89-111 Porter Ave, Brooklyn, NY 11237",Brooklyn,11237,40.707961,-73.928611,Pharmaceuticals & Syringes
VIP Community Services - Health Services Department,"1910 Arthur Ave Bronx, NY 10457",Bronx,10457,40.845444,-73.893005,Pharmaceuticals & Syringes
Hospital for Speical Surgery- Ambulatory Care,"475 E 72 St, New York, NY 10021",Manhattan,10021,40.767162,-73.954,Pharmaceuticals & Syringes
Turning Point Main Office,"5220 4 Ave, Brooklyn, NY 11220",Brooklyn,11220,40.64506,-74.014349,Pharmaceuticals & Syringes
Staten Island University Hospital-South,"375 Seguine Ave, Staten Island, NY, 10309",Staten Island,10309,40.517319,-74.196378,Pharmaceuticals & Syringes
Morningside House Nursing Home Company,"1000 Pelham Pkwy S, Bronx, NY 10461",Bronx,10461,40.856707,-73.859442,Pharmaceuticals & Syringes
Gold Crest Care Center,"2316 Bruner Ave, Bronx, NY 10469",Bronx,10469,40.859249,-73.833031,Pharmaceuticals & Syringes
Sea-Crest Health Care Center,"3035 W 24 St, Brooklyn, NY, 11224",Brooklyn,11224,40.572441,-73.989961,Pharmaceuticals & Syringes
Specialty Rx Servicing Atrium Center for Rehab and Nursing,"611 East 103rdStreet,  Brooklyn,  NY 11236",Brooklyn,11236,40.649221,-73.8991,Pharmaceuticals & Syringes
Bridge View Nursing Home,"143 20th Ave, Whitestone, NY 11357",Queens,11357,40.780019,-73.798135,Pharmaceuticals & Syringes
Long Island Jewish Forest Hills Hospital,"102-1 66th Rd, Forest Hills, NY, 11375",Queens,11375,40.72897,-73.851753,Pharmaceuticals & Syringes
Uptown Care Pharmacy,"2254 2nd Ave,  Manhattan,  NY 10029",Manhattan,10029,40.796644,-73.9377,Pharmaceuticals & Syringes
"B&B Pharmacy, Inc","79-08 37th Ave,  Queens,  NY 11372",Queens,11372,40.749248,-73.8866,Pharmaceuticals & Syringes
Allure Specialty Pharmacy,"4377 Bronx Blvd,  Bronx,  NY 10466",Bronx,10466,40.899539,-73.8585,Pharmaceuticals & Syringes
"Castle Hill Drugs, Inc","674 Castle Hill Ave,  Bronx,  NY 10473",Bronx,10473,40.820657,-73.848,Pharmaceuticals & Syringes
CFH Willow Medical Clinic,"190 Willow Ave, Bronx, NY 10454",Bronx,10454,40.803102,-73.911883,Pharmaceuticals & Syringes
NYPD 70th Precinct,"154 Lawrence Ave,  Brooklyn,  NY 11230",Brooklyn,11230,40.630359,-73.9737,Pharmaceuticals & Syringes
Sterling Pharmacy,"38-01 Bell Boulevard,  Queens,  NY 11361",Queens,11361,40.766455,-73.7722,Pharmaceuticals & Syringes
Wellness Center Pharmacy,"40-13 Broadway,  Queens,  NY 11102",Queens,11102,40.758953,-73.9184,Pharmaceuticals & Syringes
Cedars Pharmacy,"95-19 57th Avenue,  Queens,  NY 11373",Queens,11373,40.736972,-73.8653,Pharmaceuticals & Syringes
Holliswood Center for Rehabilitation and Healthcare,"195-44 Woodhull Ave, Hollis NY 11423",Queens,11423,40.712274,-73.763898,Pharmaceuticals & Syringes
