Sitename,Address,Borough,Zip,Latitude,Longitude,Category
EPX Pharmaceutical DBA QwikMeds,"159 Ralph Avenue,  Brooklyn,  NY 11233",Brooklyn,11233,40.684394,-73.9228,Pharmaceuticals & Syringes
"Camia Drugs, Inc. Franconia Pharmacy","45-02 162nd Street,  Queens,  NY 11358",Queens,11358,40.75631,-73.8048,Pharmaceuticals & Syringes
NYPD 61st Precinct,"2575 Coney Island Ave,  Brooklyn,  NY 11223",Brooklyn,11223,40.594121,-73.9604,Pharmaceuticals & Syringes
University Hospital of Brooklyn,"450 Clarkson Ave, Brooklyn, NY 11203",Brooklyn,11203,40.698565,-73.962017,Pharmaceuticals & Syringes
Gay Men Health Crisis-The David Geffen Center for HIV Testing and Health Education,"224 W 29th St, New York, NY 10001",Manhattan,10001,40.74815,-73.994203,Pharmaceuticals & Syringes
Thompkinsville Pharmacy,"45 Victory Blvd, Staten Island, NY 10301",Staten Island,10301,40.6388187,-74.077255,Pharmaceuticals & Syringes
BOOM!Health Harm Reduction Center,"226 E 144 St, Bronx, NY, 10451",Bronx,10451,40.815716,-73.92547,Pharmaceuticals & Syringes
New York Community Hospital of Brooklyn,"2525 Kings Hwy Brooklyn, NY 11229",Brooklyn,11229,40.613903,-73.948528,Pharmaceuticals & Syringes
New Carlton Rehab & Nursing Center,"405 Carlton Ave, Brooklyn, NY 11238",Brooklyn,11238,40.685504,-73.971173,Pharmaceuticals & Syringes
Triangle Pharmacy,"119-1 Jamaica Ave, Richmond Hill, NY 11418",Queens,11418,40.700123,-73.830846,Pharmaceuticals & Syringes
Arthur Ave Pharmacy,"2343 Arthur Ave,  Bronx,  NY 10458",Bronx,10458,40.854538,-73.8888,Pharmaceuticals & Syringes
Duane Reade,"2522 Broadway,  Manhattan,  NY 10025",Manhattan,10025,40.793301,-73.9721,Pharmaceuticals & Syringes
New Surfside Nursing Home,"22-41 New Haven Ave, Far Rockaway, NY 11691",Queens,11691,40.60111,-73.757067,Pharmaceuticals & Syringes
